date,level,x,y,z
2023/02/28 14:01:08,logs_a,0.0,12.95,1.051677592868.881470
2023/02/28 14:01:08,logs_a,1.38,10.89,1.391677592868.882499
2023/02/28 14:01:08,logs_a,-0.07,0.02,0.011677592868.970607
2023/02/28 14:01:08,logs_a,0.05,0.01,-0.051677592868.972499
2023/02/28 14:01:08,logs_a,3.32,1.1,0.551677592868.974318
2023/02/28 14:01:08,logs_a,4.94,7.57,2.211677592868.975788
2023/02/28 14:01:08,logs_a,2.04,6.09,-6.741677592868.976758
2023/02/28 14:01:08,logs_a,4.59,9.27,1.81677592868.977708
2023/02/28 14:01:08,logs_a,1.37,10.59,2.491677592868.978734
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.070286
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.073462
2023/02/28 14:01:09,logs_a,4.94,7.56,2.231677592869.074520
2023/02/28 14:01:09,logs_a,2.04,5.75,-7.021677592869.075397
2023/02/28 14:01:09,logs_a,-0.41,12.94,1.081677592869.076254
2023/02/28 14:01:09,logs_a,1.36,10.53,2.541677592869.077161
2023/02/28 14:01:09,logs_a,-0.83,13.23,1.431677592869.078492
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.176491
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.178315
2023/02/28 14:01:09,logs_a,2.82,1.78,0.251677592869.179548
2023/02/28 14:01:09,logs_a,4.94,7.6,2.081677592869.180784
2023/02/28 14:01:09,logs_a,2.04,6.0,-6.811677592869.182425
2023/02/28 14:01:09,logs_a,5.58,8.9,0.041677592869.183450
2023/02/28 14:01:09,logs_a,1.64,4.24,9.471677592869.184545
2023/02/28 14:01:09,logs_a,-0.41,12.84,2.111677592869.185687
2023/02/28 14:01:09,logs_a,-9.37,8.96,4.21677592869.186912
2023/02/28 14:01:09,logs_a,1.36,10.76,1.21677592869.188095
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.265537
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.267264
2023/02/28 14:01:09,logs_a,3.21,1.04,1.081677592869.268224
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.362309
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.363120
2023/02/28 14:01:09,logs_a,3.23,1.29,0.781677592869.363931
2023/02/28 14:01:09,logs_a,4.94,7.58,2.171677592869.364964
2023/02/28 14:01:09,logs_a,2.04,4.56,-7.851677592869.365403
2023/02/28 14:01:09,logs_a,0.0,12.69,2.561677592869.366120
2023/02/28 14:01:09,logs_a,0.0,13.01,0.861677592869.366587
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.468145
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.470244
2023/02/28 14:01:09,logs_a,3.3,0.36,1.171677592869.471450
2023/02/28 14:01:09,logs_a,1.72,2.78,-1.661677592869.472773
2023/02/28 14:01:09,logs_a,2.7,7.16,1.821677592869.473903
2023/02/28 14:01:09,logs_a,4.94,7.56,2.221677592869.475019
2023/02/28 14:01:09,logs_a,2.04,5.49,-7.231677592869.476126
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.569205
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.570570
2023/02/28 14:01:09,logs_a,3.05,1.41,0.221677592869.571725
