Time,1677605380.5783942{}-0.0186,0.0033,1.6906{}0.54{}0.15,6.17,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605380.6302626{}-0.0186,0.0033,1.6906{}0.54{}0.16,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605380.6933382{}-0.0186,0.0033,1.6906{}0.54{}0.16,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605380.7543478{}-0.0186,0.0033,1.6906{}0.54{}0.16,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605380.8059127{}-0.0186,0.0033,1.6906{}0.54{}0.16,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605380.9043486{}-0.0186,0.0033,1.6906{}0.54{}0.16,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.006772{}-0.0186,0.0033,1.6906{}0.54{}0.17,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.1039755{}-0.0186,0.0033,1.6906{}0.54{}0.17,6.16,0{}(13.0348467,77.6780958){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.2037976{}-0.0189,0.0032,1.6904{}0.54{}0.17,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.3038397{}-0.0189,0.0032,1.6904{}0.54{}0.17,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.4036727{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.468698{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.520302{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.582486{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.034846799999999,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.6339667{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.14,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.6871035{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.14,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.7419457{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.14,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.7946343{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.846919{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
Time,1677605381.8989985{}-0.0189,0.0032,1.6904{}0.54{}0.18,6.15,0{}(13.0348469,77.6780957){}0.0,0.0{}2{}{}0.01,0.01{}{}-0.07,0.05{}{}0.01,-0.05{}{}[0. 0.]{}
