Time,0.008474588394165039{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}{}{}{}[]{}
Time,0.017250537872314453{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}{}{}{}[]{}
Time,0.02476954460144043{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}{}{}[]{}
Time,0.026247739791870117{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}{}{}[]{}
Time,0.027734756469726562{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}{}[]{}
Time,0.030051708221435547{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.03252840042114258{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.040407419204711914{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.04260849952697754{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.04451751708984375{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.0516049861907959{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.05345869064331055{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.06013178825378418{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.07705950736999512{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.0788733959197998{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.09947371482849121{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.1259298324584961{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.12880778312683105{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.13148760795593262{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
Time,0.13599658012390137{}0.0075,-0.0324,0.069{}0.38{}1.22,-3.02,0{}(13.034504,77.6782029){}0.0,0.0{}0{}{}[-0.08]{}[0.09]{}[0.03]{}[]{}
