date,level,x,y,z
2023/03/01 00:06:12,logs_a,{},1677629172.2640882,{},[0.11, -3.48, 0.28],{},[1.09, 8.6, 1.19],{},[0.26, 0.27, 0.35],{},[0.0, 0.0, -0.6499999761581421],{}1677629172.264194
2023/03/01 00:06:12,logs_a,{},1677629172.374135,{},[0.18, 0.11, -3.19, 0.3],{},[1.11, 1.12, 8.71, 1.13],{},[0.22, 0.21, -0.29, 0.25],{},[0.0, 0.0, 0.0, -0.6499999761581421],{}1677629172.374269
2023/03/01 00:06:12,logs_a,{},1677629172.4884121,{},[0.4, 0.29, -3.19],{},[0.98, 1.23, 8.71],{},[0.51, 0.37, -0.24],{},[0.0, 0.0, 0.0],{}1677629172.489259
2023/03/01 00:06:12,logs_a,{},1677629172.6586523,{},[0.11, 0.2, -3.19],{},[1.11, 1.21, 8.71],{},[0.27, 0.33, -0.16],{},[0.0, 0.0, 0.0],{}1677629172.658740
2023/03/01 00:06:12,logs_a,{},1677629172.766616,{},[0.14, -3.19],{},[1.11, 8.71],{},[0.27, -0.23],{},[0.0, 0.0],{}1677629172.766728
2023/03/01 00:06:12,logs_a,{},1677629172.8754468,{},[0.14, 0.48, -3.19],{},[1.09, 1.11, 8.71],{},[0.33, 0.4, -0.28],{},[0.0, 0.0, 0.0],{}1677629172.875566
2023/03/01 00:06:12,logs_a,{},1677629172.9875546,{},[0.15, 0.49, -3.19],{},[1.1, 1.14, 8.71],{},[0.39, 0.36, -0.03],{},[0.0, 0.0, 0.0],{}1677629172.987655
2023/03/01 00:06:13,logs_a,{},1677629173.1558275,{},[0.49, -3.19, 0.48],{},[1.18, 8.71, 2.99],{},[0.19, -0.02, 0.65],{},[0.0, 0.0, 0.6499999761581421],{}1677629173.155929
2023/03/01 00:06:13,logs_a,{},1677629173.2678936,{},[0.19, -3.19],{},[1.17, 8.71],{},[0.3, 0.01],{},[0.0, 0.0],{}1677629173.268009
2023/03/01 00:06:13,logs_a,{},1677629173.3768606,{},[0.23, -3.19, 0.3],{},[1.21, 8.71, 2.39],{},[0.2, 0.01, 0.21],{},[0.0, 0.0, 0.6499999761581421],{}1677629173.376969
2023/03/01 00:06:13,logs_a,{},1677629173.4892662,{},[0.41, -3.19],{},[1.2, 8.71],{},[0.37, 0.09],{},[0.0, 0.0],{}1677629173.489444
2023/03/01 00:06:13,logs_a,{},1677629173.655878,{},[0.16, 0.23, -3.19],{},[1.28, 1.33, 8.71],{},[0.1, 0.51, -0.36],{},[0.0, 0.0, 0.0],{}1677629173.656057
2023/03/01 00:06:13,logs_a,{},1677629173.7651093,{},[0.44, 0.12, 0.31, -3.19],{},[1.13, 1.29, 1.19, 8.71],{},[0.45, -0.03, 0.71, -0.1],{},[0.0, 0.0, 0.0, 0.0],{}1677629173.765251
2023/03/01 00:06:13,logs_a,{},1677629173.875771,{},[0.12, 0.4, -3.19],{},[1.28, 1.08, 8.71],{},[0.16, 0.59, -0.08],{},[0.0, 0.0, 0.0],{}1677629173.875866
2023/03/01 00:06:13,logs_a,{},1677629173.9843044,{},[0.08, 0.9, -3.19],{},[1.27, 1.7, 8.71],{},[0.24, -0.15, -0.39],{},[0.0, 0.0, 0.0],{}1677629173.984405
2023/03/01 00:06:14,logs_a,{},1677629174.0949156,{},[0.04, -3.19, 0.25],{},[1.27, 8.71, 1.04],{},[0.36, -0.35, 0.41],{},[0.0, 0.0, -0.6499999761581421],{}1677629174.095014
2023/03/01 00:06:14,logs_a,{},1677629174.2632363,{},[0.04, -2.45, -3.19],{},[1.32, 4.7, 8.71],{},[0.25, 2.88, -0.26],{},[0.0, 0.0, 0.0],{}1677629174.263329
2023/03/01 00:06:14,logs_a,{},1677629174.3728456,{},[0.0, -3.19],{},[1.05, 8.71],{},[0.23, 0.03],{},[0.0, 0.0],{}1677629174.373034
2023/03/01 00:06:14,logs_a,{},1677629174.483108,{},[-0.1, -0.08, -2.9],{},[1.08, 1.2, 8.81],{},[0.17, 0.54, 0.01],{},[0.0, 0.0, 0.0],{}1677629174.483205
2023/03/01 00:06:14,logs_a,{},1677629174.6615171,{},[-0.29, 0.04, -3.48],{},[1.1, 1.3, 8.58],{},[0.28, 0.22, 0.56],{},[0.0, 0.0, 0.0],{}1677629174.661633
2023/03/01 00:06:14,logs_a,{},1677629174.772421,{},[-0.37, 0.08, -0.22, 0.0],{},[1.12, 1.25, 1.29, 2.51],{},[0.2, 0.32, 0.47, 0.37],{},[0.0, 0.0, 0.0, 0.0],{}1677629174.772539
2023/03/01 00:06:14,logs_a,{},1677629174.8836212,{},[-0.45, -3.48],{},[1.05, 8.57],{},[0.34, 0.69],{},[0.0, 0.0],{}1677629174.883740
2023/03/01 00:06:14,logs_a,{},1677629174.9975739,{},[-0.41, -0.16, -2.9],{},[1.02, 1.3, 8.81],{},[0.48, 0.16, -0.09],{},[0.0, 0.0, 0.0],{}1677629174.997756
2023/03/01 00:06:15,logs_a,{},1677629175.161023,{},[-0.45, -0.47],{},[1.04, 1.26],{},[0.39, 0.25],{},[0.0, 0.0],{}1677629175.161115
2023/03/01 00:06:15,logs_a,{},1677629175.2683618,{},[-0.4, -3.19],{},[1.06, 8.71],{},[0.28, 0.31],{},[0.0, 0.0],{}1677629175.268453
2023/03/01 00:06:15,logs_a,{},1677629175.3791351,{},[-0.48, -3.27, -2.9],{},[1.06, 5.94, 8.81],{},[0.18, 1.68, -0.32],{},[0.0, 0.0, 0.0],{}1677629175.379300
2023/03/01 00:06:15,logs_a,{},1677629175.4905505,{},[-0.52, -2.9],{},[0.94, 8.81],{},[0.53, -0.1],{},[0.0, 0.0],{}1677629175.490666
2023/03/01 00:06:15,logs_a,{},1677629175.6537607,{},[-3.19],{},[8.71],{},[0.13],{},[0.0],{}1677629175.653859
2023/03/01 00:06:15,logs_a,{},1677629175.7598953,{},[-3.19],{},[8.71],{},[0.14],{},[0.0],{}1677629175.759992
2023/03/01 00:06:15,logs_a,{},1677629175.868947,{},[-3.19],{},[8.71],{},[-0.05],{},[0.0],{}1677629175.869071
