Time,1677622985.7893484{}0.0252,-0.0042,5.4317{}1.64{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622985.8941503{}0.0252,-0.0042,5.4317{}1.64{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622985.9979386{}0.0252,-0.0042,5.4317{}1.64{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.1015253{}0.0252,-0.0042,5.4317{}1.7{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.205059{}0.0254,-0.0041,5.4318{}1.7{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.3085153{}0.0254,-0.0041,5.4318{}1.7{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.412526{}0.0254,-0.0041,5.4318{}1.7{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.5161908{}0.0254,-0.0041,5.4318{}1.7{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.6198983{}0.0254,-0.0041,5.4318{}1.69{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.7248547{}0.0254,-0.0041,5.4318{}1.69{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622986.8284457{}0.0254,-0.0041,5.4318{}1.69{}0,0,0{}0.0,-0.01{}7{}{}2.34,3.73,5.91,5.95,7.73,7.68,9.26{}{}0.6,0.78,0.96,-1.62,0.49,0.25,-4.74{}{}0.14,1.64,1.44,2.05,0.52,2.1,3.05{}{}[0. 0. 0. 0. 0. 0. 0.]{}
