Time,1677622409.6875439{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.84,9.22,10.57,18.4{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.12,0.84,1.75,1.37,2.0,2.54,3.17,3.29,2.17{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622409.794296{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.85,9.22,10.57,18.4{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.12,0.84,1.75,1.37,2.0,2.47,3.17,3.28,2.13{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622409.9028785{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,5.96,8.85,9.21,10.55,18.42{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.62,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.12,0.84,1.75,1.37,2.0,2.48,3.2,3.36,1.95{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.0076432{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.87,9.22,10.57,18.44{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.13,0.83,1.75,1.37,2.0,2.43,3.16,3.28,1.73{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.1260083{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}12{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.02,7.68,8.84,9.21,10.56,18.42{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,0.5,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.13,0.84,1.75,1.36,1.99,2.05,2.51,3.18,3.33,1.92{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.2399967{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.86,9.22,10.55,18.42{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.12,0.84,1.75,1.37,2.01,2.47,3.17,3.36,1.96{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.349742{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.85,9.22,10.57,18.45{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.13,0.83,1.76,1.37,2.0,2.49,3.16,3.3,1.71{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.4655974{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.84,9.22,10.54,18.4{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.13,0.82,1.75,1.37,2.0,2.51,3.18,3.37,2.17{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.5743651{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,6.01,8.84,9.22,10.54,18.4{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.42,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.13,0.82,1.75,1.37,2.0,2.51,3.18,3.37,2.17{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
Time,1677622410.6876173{}0.0266,-0.0033,5.4398{}2.41{}0,0,0{}0.01,0.01{}11{}{}0.34,0.73,2.32,2.49,3.68,5.92,5.96,8.85,9.22,10.55,18.46{}{}-0.12,-0.27,0.68,0.68,0.78,0.96,-1.62,-4.09,-4.74,-4.48,0.58{}{}-0.16,0.05,0.12,0.83,1.76,1.37,2.01,2.47,3.17,3.36,1.52{}{}[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]{}
